"ID"	"adj.P.Val"	"P.Value"	"SPOT_ID"
"hsa-miR-518d-3p"	"3.41e-07"	"1.64e-07"	""
"hsa-miR-489"	"3.46e-07"	"1.66e-07"	""
"hsa-miR-586"	"3.49e-07"	"1.69e-07"	""
"hsa-miR-218-1*"	"3.52e-07"	"1.70e-07"	""
"hsa-miR-488"	"3.62e-07"	"1.76e-07"	""
"hsa-miR-19b-1*"	"3.63e-07"	"1.77e-07"	""
"hsa-miR-523"	"3.72e-07"	"1.82e-07"	""
"hsa-miR-24-2*"	"3.81e-07"	"1.86e-07"	""
"hsa-miR-130b*"	"3.88e-07"	"1.90e-07"	"NA"
"hsa-miR-20a*"	"3.99e-07"	"1.96e-07"	""
"hsa-miR-580"	"4.11e-07"	"2.03e-07"	""
"hsa-miR-409-5p"	"4.11e-07"	"2.03e-07"	""
"hsa-miR-200c*"	"4.17e-07"	"2.07e-07"	""
"hsa-miR-421"	"4.23e-07"	"2.10e-07"	""
"S_Control0022"	"4.26e-07"	"2.13e-07"	"CONTROL"
"hsa-miR-606"	"4.33e-07"	"2.16e-07"	""
"hsa-miR-1238"	"4.41e-07"	"2.21e-07"	"NA"
"hsa-miR-19a*"	"4.46e-07"	"2.24e-07"	""
"hsa-miR-192*"	"4.46e-07"	"2.25e-07"	""
"hsa-miR-374b*"	"4.49e-07"	"2.27e-07"	""
"hsa-miR-337-3p"	"4.59e-07"	"2.33e-07"	""
"hsa-miR-196b"	"4.67e-07"	"2.37e-07"	""
"hsa-miR-196a"	"4.68e-07"	"2.38e-07"	""
"hsa-miR-618"	"4.70e-07"	"2.40e-07"	""
"hsa-miR-190b"	"4.75e-07"	"2.43e-07"	""
"hsa-miR-452*"	"4.88e-07"	"2.51e-07"	""
"hsa-miR-16-2*"	"4.89e-07"	"2.52e-07"	""
"hsa-miR-582-3p"	"4.89e-07"	"2.52e-07"	""
"hsa-miR-545*"	"4.98e-07"	"2.58e-07"	""
"hsa-miR-105"	"4.98e-07"	"2.58e-07"	"NA"
"hsa-miR-182*"	"5.04e-07"	"2.62e-07"	""
"hsa-miR-19b-2*"	"5.24e-07"	"2.73e-07"	""
"hsa-miR-223*"	"5.29e-07"	"2.77e-07"	""
"hsa-miR-589"	"5.31e-07"	"2.78e-07"	""
"hsa-miR-299-3p"	"5.32e-07"	"2.80e-07"	""
"hsa-miR-379"	"5.60e-07"	"2.95e-07"	""
"hsa-miR-515-5p"	"5.61e-07"	"2.96e-07"	""
"hsa-miR-7-2*"	"5.63e-07"	"2.98e-07"	""
"hsa-miR-505"	"5.63e-07"	"2.99e-07"	""
"hsa-miR-125b-2*"	"5.72e-07"	"3.05e-07"	"NA"
"hsa-miR-7-1*"	"5.87e-07"	"3.13e-07"	""
"hsa-miR-886-5p"	"5.98e-07"	"3.20e-07"	""
"hsa-let-7c*"	"6.01e-07"	"3.22e-07"	"NA"
"hsa-miR-154*"	"6.18e-07"	"3.33e-07"	""
"hsa-miR-193a-5p"	"6.32e-07"	"3.41e-07"	""
"hsa-miR-876-5p"	"6.43e-07"	"3.48e-07"	""
"hsa-miR-607"	"6.66e-07"	"3.61e-07"	""
"hsa-miR-10b*"	"7.16e-07"	"3.89e-07"	"NA"
"hsa-let-7d*"	"7.22e-07"	"3.93e-07"	"NA"
"hsa-miR-340*"	"7.27e-07"	"3.97e-07"	""
"hsa-miR-758"	"7.33e-07"	"4.01e-07"	""
"hsa-miR-574-3p"	"7.41e-07"	"4.07e-07"	""
"hsa-miR-432"	"7.41e-07"	"4.08e-07"	""
"hsa-miR-543"	"7.41e-07"	"4.09e-07"	""
"hsa-miR-183*"	"7.52e-07"	"4.16e-07"	""
"hsa-miR-633"	"7.58e-07"	"4.20e-07"	""
"hsa-miR-656"	"7.58e-07"	"4.21e-07"	""
